ja,Unique_Entities
0,http://dbpedia.org/property/type
1,http://dbpedia.org/property/name
2,http://dbpedia.org/ontology/country
3,http://dbpedia.org/property/country
4,http://dbpedia.org/ontology/locationCountry
5,http://dbpedia.org/property/locationCountry
6,http://dbpedia.org/property/year
7,http://dbpedia.org/property/title
8,http://dbpedia.org/property/caption
9,http://dbpedia.org/property/description
10,http://dbpedia.org/property/label
11,http://dbpedia.org/property/partof
12,http://purl.org/dc/terms/subject
13,http://dbpedia.org/property/architect
14,http://dbpedia.org/ontology/architect
15,http://dbpedia.org/ontology/builder
16,http://dbpedia.org/property/architectOrBuilder
17,http://dbpedia.org/ontology/wikiPageWikiLink
18,http://dbpedia.org/property/state
19,http://dbpedia.org/ontology/state
20,http://dbpedia.org/property/cultures
21,http://dbpedia.org/ontology/abstract
22,http://dbpedia.org/property/region
23,http://dbpedia.org/ontology/area
24,http://dbpedia.org/property/location
25,http://dbpedia.org/ontology/place
26,http://dbpedia.org/property/serviceHeader
27,http://dbpedia.org/property/header
28,http://dbpedia.org/property/staff
29,http://dbpedia.org/property/president
30,http://dbpedia.org/property/vicepresident
31,http://dbpedia.org/property/head
32,http://dbpedia.org/property/director
33,http://dbpedia.org/property/alternateNames
34,http://dbpedia.org/property/namedFor
35,http://dbpedia.org/property/buildingName
36,http://dbpedia.org/property/architecture
37,http://dbpedia.org/property/photo
38,http://dbpedia.org/property/image
39,http://dbpedia.org/property/photos
40,http://dbpedia.org/property/picture
41,http://dbpedia.org/property/age
42,http://dbpedia.org/ontology/yearOfConstruction
43,http://dbpedia.org/property/alt
44,http://dbpedia.org/property/years
