Query File,Variable Name,Value
DBpedia/Queries/Drug_Domain/Q1.txt,callret-0,1
DBpedia/Queries/Drug_Domain/Q10.txt,callret-0,2
DBpedia/Queries/Drug_Domain/Q2.txt,callret-0,88
DBpedia/Queries/Drug_Domain/Q3.txt,callret-0,131
DBpedia/Queries/Drug_Domain/Q4.txt,callret-0,33
DBpedia/Queries/Drug_Domain/Q5.txt,callret-0,16
DBpedia/Queries/Drug_Domain/Q6.txt,callret-0,8
DBpedia/Queries/Drug_Domain/Q7.txt,callret-0,1
DBpedia/Queries/Drug_Domain/Q8.txt,callret-0,1
DBpedia/Queries/Drug_Domain/Q9.txt,callret-0,10
DBpedia/Queries/Person_Domain/Q1.txt,callret-0,11008
DBpedia/Queries/Person_Domain/Q10.txt,callret-0,119
DBpedia/Queries/Person_Domain/Q2.txt,callret-0,992
DBpedia/Queries/Person_Domain/Q3.txt,callret-0,442
DBpedia/Queries/Person_Domain/Q4.txt,callret-0,510
DBpedia/Queries/Person_Domain/Q5.txt,callret-0,562
DBpedia/Queries/Person_Domain/Q6.txt,callret-0,152
DBpedia/Queries/Person_Domain/Q7.txt,callret-0,22
DBpedia/Queries/Person_Domain/Q8.txt,callret-0,4834
DBpedia/Queries/Person_Domain/Q9.txt,callret-0,9263
DBpedia/Queries/Sport_Domain/Q1.txt,callret-0,171
DBpedia/Queries/Sport_Domain/Q10.txt,callret-0,1
DBpedia/Queries/Sport_Domain/Q2.txt,callret-0,2
DBpedia/Queries/Sport_Domain/Q3.txt,callret-0,2
DBpedia/Queries/Sport_Domain/Q4.txt,callret-0,32
DBpedia/Queries/Sport_Domain/Q5.txt,callret-0,8
DBpedia/Queries/Sport_Domain/Q6.txt,callret-0,1
DBpedia/Queries/Sport_Domain/Q7.txt,callret-0,6
DBpedia/Queries/Sport_Domain/Q8.txt,callret-0,132
DBpedia/Queries/Sport_Domain/Q9.txt,callret-0,80
DBpedia/Queries/Music_Domain/Q1.txt,callret-0,7286
DBpedia/Queries/Music_Domain/Q10.txt,callret-0,4
DBpedia/Queries/Music_Domain/Q2.txt,callret-0,9812
DBpedia/Queries/Music_Domain/Q3.txt,callret-0,87
DBpedia/Queries/Music_Domain/Q4.txt,callret-0,4
DBpedia/Queries/Music_Domain/Q5.txt,callret-0,7745
DBpedia/Queries/Music_Domain/Q6.txt,callret-0,1530
DBpedia/Queries/Music_Domain/Q7.txt,callret-0,30
DBpedia/Queries/Music_Domain/Q8.txt,callret-0,202
DBpedia/Queries/Music_Domain/Q9.txt,callret-0,165922
DBpedia/Queries/History_Domain/Q1.txt,callret-0,6
DBpedia/Queries/History_Domain/Q10.txt,callret-0,9
DBpedia/Queries/History_Domain/Q2.txt,callret-0,2
DBpedia/Queries/History_Domain/Q3.txt,callret-0,441
DBpedia/Queries/History_Domain/Q4.txt,callret-0,10
DBpedia/Queries/History_Domain/Q5.txt,callret-0,56
DBpedia/Queries/History_Domain/Q6.txt,callret-0,8
DBpedia/Queries/History_Domain/Q7.txt,callret-0,1
DBpedia/Queries/History_Domain/Q8.txt,callret-0,37214
DBpedia/Queries/History_Domain/Q9.txt,callret-0,1
DBpedia/Queries/Film_Domain/Q1.txt,callret-0,4
DBpedia/Queries/Film_Domain/Q10.txt,callret-0,1
DBpedia/Queries/Film_Domain/Q2.txt,callret-0,208
DBpedia/Queries/Film_Domain/Q3.txt,callret-0,497
DBpedia/Queries/Film_Domain/Q4.txt,callret-0,1
DBpedia/Queries/Film_Domain/Q5.txt,callret-0,71
DBpedia/Queries/Film_Domain/Q6.txt,callret-0,7680
DBpedia/Queries/Film_Domain/Q7.txt,callret-0,9858
DBpedia/Queries/Film_Domain/Q8.txt,callret-0,2513
DBpedia/Queries/Film_Domain/Q9.txt,callret-0,1840
